# Aromamoleküle (kuratiert) — id  name  CAS
# Eigene Kuration der Steakakademie aus öffentlich-freier Aromachemie + CC-BY-Wissen
# (foods-oa). KEINE fremde Datenbank. Siehe data/foodpairing/SOURCES.md.
1	Röst-Pyrazine	—
2	2-Methyl-3-furanthiol	28588-74-1
3	1-Octen-3-ol	3391-86-4
4	2-Acetyl-1-pyrrolin	85213-22-5
5	Strecker-Aldehyde (Methylbutanal)	590-86-3
6	(E,E)-2,4-Decadienal	25152-84-5
7	Räucherphenole (Guaiacol/Syringol)	90-05-1
8	Gamma-Lactone	—
9	Eugenol	97-53-0
10	12-Methyltridecanal	75853-49-5
11	4-Methyloctansäure	54947-74-9
