Titel; Kategorie; Cut/Zutat; Schwierigkeit; Keywords; Quelle-Fundstelle; Inhalt_normalisiert
Drei Wege zum Fleischaroma; Aroma-Wissenschaft; Rind; ; Maillard, Strecker, Lipidoxidation, Thiamin, Volatile; Open Access: Molecules 2022, 27(19):6703 (CC BY, DOI:10.3390/molecules27196703); Die flüchtigen Aromastoffe in gegartem Fleisch entstehen vor allem über vier Wege: die Maillard-Reaktion (Zucker plus Aminosäuren), den Strecker-Abbau (Aminosäuren zu Strecker-Aldehyden), die Lipidoxidation (Fettabbau) und den Thiamin-Abbau. Erst ihr Zusammenspiel ergibt das typische Röst- und Fleischaroma.
Stoffklassen der Fleischaromen; Aroma-Wissenschaft; ; ; Pyrazine, Thiazole, Thiophene, Furane, Aldehyde, Schwefel; Open Access: Molecules 2022, 27(19):6703 (CC BY, DOI:10.3390/molecules27196703); Gegartes Fleisch enthält Aromastoffe aus vielen Stoffklassen: Kohlenwasserstoffe, Alkohole, Aldehyde, Ketone, Carbonsäuren, Ester, Lactone, Furane, Pyridine, Pyrazine, Pyrrole, Oxazole, Thiazole und Thiophene sowie weitere schwefelhaltige Verbindungen. Die schwefel- und stickstoffhaltigen Heterozyklen tragen am stärksten zum fleischigen Charakter bei.
Lipidoxidation speist die Maillard-Reaktion; Aroma-Wissenschaft; ; ; Lipidoxidation, Aldehyde, Maillard, Pyrazine, Thiophene, Fett; Open Access: Molecules 2022, 27(19):6703 (CC BY, DOI:10.3390/molecules27196703); Aldehyde aus der Lipidoxidation greifen in frühe und späte Phasen der Maillard-Reaktion ein und bilden dabei Pyrazine, Thiophene, Pyridine, Oxazole und Thiazole mit Alkyl-Seitenketten. Fett ist also nicht nur Geschmacksträger, sondern aktiver Baustein des Röstaromas.
Phospholipide balancieren das Fleischaroma; Aroma-Wissenschaft; Rind; ; Phospholipide, Heterozyklen, Schwefel, Balance; Open Access: Molecules 2013, 18(6):6748 (CC BY, DOI:10.3390/molecules18066748); Phospholipide und ihre Abbauprodukte hemmen die Bildung bestimmter schwefelhaltiger Heterozyklen. Dadurch wird das Gesamtaroma von gegartem Fleisch ausbalanciert, statt von Schwefelnoten dominiert zu werden.
Pyrazine – Brücke zwischen Steak, Kaffee und Kakao; Foodpairing; Rind; ; Pyrazine, Röstaroma, Kaffee, Kakao, Nüsse, Maillard; Open Access: Molecules 2022, 27(19):6703 (CC BY) + Aromachemie; Pyrazine wie 2,6-Dimethylpyrazin entstehen beim thermischen Bräunen und riechen röstig-nussig. Dieselben Pyrazine kommen in geröstetem Kaffee, Kakao, gerösteten Nüssen und Getreide vor. Das ist die molekulare Erklärung, warum gegrilltes Rind hervorragend mit Kaffee-Rubs, Kakao oder Nussbutter harmoniert.
2-Acetyl-1-pyrrolin – Krustenaroma; Foodpairing; ; ; 2-Acetyl-1-pyrrolin, Popcorn, Reis, Brotkruste, Kruste; Aromachemie (öffentliche Fakten); 2-Acetyl-1-pyrrolin riecht nach heißem Butter-Popcorn und ist das Leitaroma von Duftreis (Basmati), Popcorn und Brotkruste. Es kommt auch in gerösteten Nüssen, Zuckermais, Hummer und gegarten Champignons vor und prägt die geröstete Krustennote – eine Brücke zu Beilagen mit Brot, Reis oder Mais.
2-Methyl-3-furanthiol – Rind, Thunfisch, Kaffee; Foodpairing; Rind; ; 2-Methyl-3-furanthiol, fleischig, Thunfisch, Kaffee, Schinken; Open Access: Molecules 2022, 27(19):6703 (CC BY) + Aromachemie; 2-Methyl-3-furanthiol ist ein intensiver fleischig-röstiger Schwefelaromastoff. Er steckt in gegartem Rind, gekochtem Schinken, Dosen-Thunfisch, Huhn und Kaffee. Das erklärt die klassischen Brücken Rind zu Thunfisch (Surf and Turf, Vitello-Idee) und Rind zu Kaffee.
1-Octen-3-ol – die Pilznote aus Fett; Aroma-Wissenschaft; ; ; 1-Octen-3-ol, Pilz, Lipidoxidation, Linolsäure, Champignon; Aromachemie (öffentliche Fakten); 1-Octen-3-ol, der Champignon-Alkohol, entsteht beim enzymatischen Abbau von Linolsäure (Lipidoxidation) und riecht erdig-pilzig. Es ist die molekulare Brücke zwischen Fleisch und Pilzen und damit die Grundlage des Klassikers Steak mit Champignons.
12-Methyltridecanal – der rindige Fettgeschmack; Aroma-Wissenschaft; Rind; ; 12-Methyltridecanal, Talg, rindig, Plasmalogene, Fett; Open Access: Foods 2023 (CC BY, PMC10486796) + Aromachemie; 12-Methyltridecanal ist ein artspezifischer Aromastoff von geschmortem Rind: talgig-fleischig. Seine Vorstufen sind Plasmalogene im Fett. Er erklärt, warum Rinderfett unverwechselbar nach Rind schmeckt und warum mageres Fleisch ohne sein Fett an Charakter verliert.
Strecker-Aldehyde – malzig-schokoladige Noten; Aroma-Wissenschaft; ; ; Strecker, 2-Methylbutanal, 3-Methylbutanal, malzig, Schokolade; Open Access: Molecules 2022, 27(19):6703 (CC BY) + Aromachemie; Beim Strecker-Abbau werden Aminosäuren zu Strecker-Aldehyden umgesetzt; 2- und 3-Methylbutanal riechen malzig bis dunkel-schokoladig. Sie entstehen beim Bräunen und verbinden Fleischröstaromen geschmacklich mit Kakao und Malz.
