Titel; Kategorie; Cut/Zutat; Schwierigkeit; Keywords; Quelle-Fundstelle
Sous-vide-Garen; Technik; ; ; Sous-vide, Vakuumgaren, Wasserbad; S. 5, S. 40-42
Spezifische Wärmekapazität; Grundlagen; ; ; Wärmekapazität, Joule, Energie; S. 267
PID-Regler; Equipment; ; ; PID-Regler, Temperaturkontrolle, Sous-vide; S. 269
SousVideMagic PID-Regler; Equipment; ; ; SousVideMagic, PID, Reiskocher; S. 269
Fleischzartmacher Jaccard; Technik; Fleisch; ; Jaccard, Fleischzartmacher, Kontamination; S. 177
Mikrowellen-Dehydratisierung; Technik; ; ; Mikrowelle, Dehydratisierung, Tomatenpulver; S. 79 (Zeittafel)
Vakuumkompression; Technik; ; ; Vakuum, Komprimieren, Sous-vide; S. 79 (Zeittafel)
Hyperdekantieren; Technik; Wein; ; Hyperdekantieren, Wein; S. 79 (Zeittafel)
Cryopochieren; Technik; ; ; Cryopochieren, flüssiger Stickstoff; S. 79 (Zeittafel)
Gefrierkonzentration; Technik; ; ; Gefrierkonzentration, Konzentration; S. 304
Blanchieren; Technik; ; ; Blanchieren, Fleisch, Kontamination; S. 177
Gramfärbung (Bakterienidentifikation); Glossar; ; ; Gramfärbung, Bakterien, grampositiv, gramnegativ; S. 106
Infektiöse Dosis (ID50); Glossar; ; ; infektiöse Dosis, ID50, Pathogene; S. 115
Botulinumtoxin; Glossar; ; ; Botulinumtoxin, Clostridium botulinum, Lebensmittelvergiftung; S. 139-140
Clostridium perfringens; Glossar; ; ; Clostridium perfringens, Sporen, Gasbrand; S. 110, 141
Noroviren; Glossar; ; ; Norovirus, Gastroenteritis, Lebensmittelvergiftung; S. 152-153
Prionen; Glossar; ; ; Prionen, BSE, Rinderwahn, Creutzfeldt-Jakob; S. 156-157
Anisakiasis (Heringswurmkrankheit); Fleischkunde; Fisch; ; Anisakis, Sushi, Fisch, Parasit; S. 120-121
Toxoplasma gondii; Glossar; ; ; Toxoplasma, Katzenkot, Schwangerschaft; S. 126-127
Laktoseintoleranz; Zutaten-Wissenschaft; Milch; ; Laktose, Laktoseintoleranz, Milchzucker; S. 239
Zöliakie (Glutenunverträglichkeit); Zutaten-Wissenschaft; Gluten, Weizen; ; Zöliakie, Gluten, Unverträglichkeit; S. 239
Gefahrenzone (Lebensmittelsicherheit); Grundlagen; ; ; Gefahrenzone, Temperatur, Bakterienwachstum; S. 176-177
6,5D-Reduktion (Salmonellen); Grundlagen; ; ; D-Reduktion, Salmonellen, Pasteurisierung; S. 166, 187
12D-Reduktion (Konserven); Grundlagen; ; ; 12D-Reduktion, Konserven, Sterilisation; S. 148
HACCP (Risikoanalyse); Grundlagen; ; ; HACCP, Risikoanalyse, Kontrollpunkt; S. 195
Händewaschen in der Küche; Technik; ; ; Hygiene, Händewaschen, Desinfektion; S. 196-199
Desinfektion mit Chlorbleiche; Technik; ; ; Chlorbleiche, Desinfektion, Bleichlösung; S. 202
Schneidebretter: Holz oder Kunststoff; Equipment; ; ; Schneidebrett, Holz, Kunststoff, Hygiene; S. 202
Gefrierpunkt von Wasser; Grundlagen; ; ; Gefrierpunkt, Wasser, Eis; S. 298, 302
Siedepunkt von Wasser; Grundlagen; ; ; Siedepunkt, Wasser, Dampf; S. 298, 302
Latente Verdampfungswärme; Grundlagen; ; ; Verdampfungswärme, Wasser, Energie; S. 298, 300
Latente Schmelzwärme (Eis); Grundlagen; ; ; Schmelzwärme, Eis, Wasser; S. 300
Wasserdampf vs. Nebel; Grundlagen; ; ; Dampf, Nebel, Kondensation; S. 316
Thermische Abtötungskurve; Grundlagen; ; ; Abtötungskurve, Bakterien, Pasteurisierung; S. 149
65-°C-Ei (Hervé This); Technik; Ei; ; 65°C-Ei, Hervé This, Ei; S. 79 (Zeittafel)
Activa (Transglutaminase); Zutaten-Wissenschaft; ; ; Activa, Transglutaminase, Fleischkleber; S. 79 (Zeittafel), S. 256
Agar-Agar; Zutaten-Wissenschaft; ; ; Agar, Gelier, Algen; S. 256
Carrageen; Zutaten-Wissenschaft; ; ; Carrageen, Algen, Verdickungsmittel; S. 256
Alginat; Zutaten-Wissenschaft; ; ; Alginat, Seetang, Sphärifikation; S. 256
Xanthan; Zutaten-Wissenschaft; ; ; Xanthan, Bakterien, Stabilisator; S. 256
Gellan; Zutaten-Wissenschaft; ; ; Gellan, Fermentation, Gelier; S. 79, 255
Pektin; Zutaten-Wissenschaft; ; ; Pektin, Orangenschalen, Geliermittel; S. 256
Modifizierte Stärke; Zutaten-Wissenschaft; ; ; modifizierte Stärke, Maniok, Verdickungsmittel; S. 256
Mikrowellengaren (FDA-Vorschrift); Technik; ; ; Mikrowelle, FDA, Kerntemperatur; S. 188
Sous-vide-Garzeiten-Tabelle; Technik; ; ; Sous-vide, Garzeiten, Tabelle; S. 79 (Zeittafel)
Anti-Griddle; Equipment; ; ; Anti-Griddle, Gefrieren, Tisch; S. 79 (Zeittafel)
Pacojet; Equipment; ; ; Pacojet, Püree, Gefrieren; S. 79 (Zeittafel)
CVap (Controlled Vapor); Equipment; ; ; CVap, Winston Shelton, Dampfgarer; S. 79 (Zeittafel)
Kombidämpfer; Equipment; ; ; Kombidämpfer, Rational, Dampfbackofen; S. 79 (Zeittafel)
Rotationsverdampfer; Equipment; ; ; Rotationsverdampfer, Destillation, Aromen; S. 79 (Zeittafel)
Gefriertrockner; Equipment; ; ; Gefriertrocknung, Pulver, Aromen; S. 79 (Zeittafel)
Sprühtrockner; Equipment; ; ; Sprühtrocknen, Pulver, Aromen; S. 79 (Zeittafel)
Zentrifuge (kulinarisch); Equipment; ; ; Zentrifuge, Klärung, Brühe; S. 79 (Zeittafel)
