Titel; Kategorie; Cut/Zutat; Schwierigkeit; Keywords; Quelle-Fundstelle; Inhalt_normalisiert
Sous-vide – Definition; Technik; ; ; Sous-vide, Vakuum, Wasserbad, exakte Temperatur; Sous-vide: Einleitung; Sous-vide bezeichnet das Verpacken von Zutaten in einem Plastikbeutel und das anschließende Garen im Wasserbad, Kombidämpfer oder einem anderen System mit exakter Temperaturregulierung.
Sous-vide – Vorteil gleichmäßiges Garen; Technik; Fleisch, Fisch; ; gleichmäßig gegart, keine Übergarränder, rosa Kern; Sous-vide: Warum Sous-vide?; Ein bei 52°C sous-vide gegartes Hirschmedaillon ist saftig und in allen Bereichen perfekt gegart – im Gegensatz zu pfannengebratenem Fleisch, bei dem mehr als 40% übergart und grau sind.
Sous-vide – präzise Temperaturkontrolle; Grundlagen; ; ; PID-Regler, Temperaturabweichung <0,5°C; Sous-vide: Warum Sous-vide?; Moderne Wasserbäder halten die Temperatur mit einer Abweichung von unter 0,5°C/1°F – das macht Unter- oder Übergaren unmöglich.
Sous-vide – Reproduzierbarkeit; Grundlagen; ; ; konstant, wiederholbar, gleiches Ergebnis; Sous-vide: Warum Sous-vide?; Weil es bei Sous-vide nur sehr geringe Temperaturschwankungen gibt, lässt sich das Erreichte jederzeit wiederholen.
Sous-vide – Vorteil Oxidation; Grundlagen; ; ; Vakuum, Oxidation, Myoglobin, Farbe; Sous-vide: Warum Sous-vide?; Vakuumverpackung verlangsamt Oxidation erheblich: Fisch riecht frischer, Fleisch verfärbt sich nicht braun, Obst und Gemüse werden nicht so schnell braun wie bei Kühlung allein.
Sous-vide – Vorteil Kreuzkontamination; Grundlagen; ; ; Kreuzkontamination, Kühlschrank, Sicherheit; Sous-vide: Warum Sous-vide?; Die Beutel schützen die Zutaten vor Kreuzkontamination während der Bearbeitung und Lagerung in häufig überfüllten Restaurantkühlschränken.
Sous-vide – Mythen: Fleisch am Knochen; Mythos; Fleisch; ; Knochen, Wärmeleitung, unbedenklich; Sous-vide: Mythen; Fleisch am Knochen kann ohne Bedenken sous-vide gegart werden. Einige Knochen leiten Wärme schneller, andere langsamer – mit der richtigen Zeit- und Temperatureinstellung ist das kein Problem.
Sous-vide – Mythen: Plastikverpackung; Mythos; ; ; Polyethylen, BPA, Sicherheit; Sous-vide: Mythen; Die sichersten Verpackungskunststoffe für Lebensmittel sind HDPE, LDPE und Polypropylen. Fast alle Vakuumbeutel werden daraus hergestellt. Polycarbonat-Behälter (BPA) sollten bei Rissen ersetzt werden.
Sous-vide – Mythen: Lebensmittelvergiftung; Mythos; ; ; Botulismus, anaerob, Sicherheit; Sous-vide: Mythen; Sämtliche Tests weisen darauf hin, dass sous-vide gegarte Lebensmittel sicherer sind als herkömmlich gelagerte. Die Wahrscheinlichkeit einer Kontamination ist viel geringer.
Sous-vide – Mythen: Fisch; Mythos; Fisch; ; roh, leicht gegart, Risiko; Sous-vide: Mythen; Wie auf Speisekarten zu lesen ist, stellt der Verzehr von rohen oder unpasteurisierten Lebensmitteln ein gewisses Risiko dar – unabhängig von der Garmethode. Sous-vide erhöht dieses Risiko nicht.
Sous-vide – drei Zubereitungsstrategien; Technik; ; ; sofort servieren, kochen-kühlen, konservieren; Sous-vide: Strategien; Drei Strategien: 1. Garen und sofort servieren, 2. Garen, kühlen und später aufwärmen (kochen-kühlen), 3. Konservieren (Sterilisieren für Lagerung bei Raumtemperatur).
Sous-vide – Vakuumieren nicht immer nötig; Technik; ; ; ohne Vakuum, Gleitverschlussbeutel, Luft verdrängen; Sous-vide: Verpacken; Gargut kann auch ohne Vakuum sous-vide gegart werden, wenn es innerhalb weniger Stunden serviert wird. Eine bessere Übersetzung für sous-vide wäre „unter Luftabschluss“.
Kammervakuumiergerät – Funktionsweise; Gerät; ; ; Kammer, Vakuumpumpe, Schweißleiste, Flüssigkeiten; Sous-vide: Equipment; Bei einem Kammergerät wird der Beutel in die Kammer gelegt. Die Pumpe saugt die Luft ab, die Schweißleiste verschweißt den Beutel. Flüssigkeiten werden nicht in die Pumpe gesogen.
Kammervakuumiergerät – Vorteile; Gerät; ; ; mehrere Beutel gleichzeitig, Flüssigkeiten, Leistung; Sous-vide: Equipment; Vorteile: Flüssigkeiten bewegen sich nicht, mehrere Beutel gleichzeitig, hohe Leistung (mehrere Hundert Beutel pro Tag).
