Titel; Kategorie; Cut/Zutat; Schwierigkeit; Keywords; Quelle-Fundstelle; Inhalt_normalisiert
Pflanzliche Lebensmittel – Abwehrmechanismen; Grundlagen; ; ; Bitterstoffe, Giftstoffe, Zellwände, Stacheln; Pflanzen als Lebensmittel: Einleitung; Pflanzen haben raffinierte physische und chemische Sperren eingebaut, um Fressfeinde abzuschrecken – bitterer Geschmack warnt vor Giftstoffen, manche Pflanzen bilden bei falscher Lagerung Gifte (Kartoffeln, Pastinaken), andere haben Stacheln.
Obst – süße Verführung; Biologie; Obst; ; Zucker, Samenverbreitung, Reife; Pflanzen als Lebensmittel: Obst; Die köstliche Süße von reifem Obst lockt Tiere an, die die Samen fressen und später ausscheiden. Viele Früchte sind erst genießbar, wenn sie die süße Reife erreicht haben.
Toxine in Samen und Nüssen; Biologie; Nüsse, Samen; ; Blausäure, Zyanid, Mandeln; Pflanzen als Lebensmittel: Samen; Samen enthalten oft Toxine (z.B. Blausäure in Mandelkernen), damit sie intakt wieder ausgeschieden werden. Aus den heutigen Samen wurden diese Gifte herausgezüchtet.
Maniok – Zyanid; Lebensmittelkunde; Maniok; ; Zyanid, Gift, Verarbeitung; Pflanzen als Lebensmittel: Maniok; Maniok produziert sein eigenes Zyanid und wird erst durch aufwendige Verarbeitung essbar.
Samenverbreitung durch Tiere; Ökologie; Avocado, Papaya; ; Mammuts, Jaguar, Aussterben; Pflanzen als Lebensmittel: Ökologie; Große Früchte (Avocado) waren auf ausgestorbene Riesentiere (Mammuts, Bodenfaultiere) als Samenverbreiter angewiesen. Der Jaguar half der Avocado zu überleben, bis der Mensch sie kultivierte.
Pflanzen – chemische Zusammensetzung; Grundlagen; ; ; Kohlendioxid, Wasser, Nährstoffe; Bauplan: Woraus bestehen Pflanzen; Pflanzen bestehen überwiegend aus Wasser (aus dem Boden) und festen Bestandteilen aus Kohlendioxid (aus der Luft). Nährstoffe aus der Erde sind wie Vitamine – notwendig, aber geringer Anteil an der Masse.
Zellwände – Aufweichen durch Kochen; Physikalisches Prinzip; Gemüse; ; Zellwände, Pektin, Hemicellulose, Ballaststoffe; Bauplan: Zellwände; Durch Kochen werden die starren Pektin- und Hemicelluloseverbindungen zwischen den Zellen aufgebrochen. Zellwände sind niemals vollständig verdaulich – sie passieren als Ballaststoffe.
Beta-Carotin – Aufnahme durch Kochen; Ernährung; Karotten; ; Beta-Carotin, Vitamin A, Resorption, Fett; Nieder mit den Zellwänden; Aus rohen Karotten werden nur 3% Beta-Carotin aufgenommen, aus gekochten 6%. Werden Karotten zerkleinert und mit Öl zubereitet, steigt die Resorption auf 39%.
Oxalsäure im Spinat; Ernährung; Spinat; ; Oxalsäure, Eisen, Nährstoffe; Nieder mit den Zellwänden; Kochen senkt den Gehalt an Oxalsäure (scharfer Geschmack, bindet Eisen und Calcium). Große Mengen rohen Spinats können zu Anämie führen.
Grünes Gemüse – Farberhalt durch entsalztes Wasser; Technik; grünes Gemüse; ; Chlorophyll, Carbonate, hartes Wasser; Aufs Wasser kommt es an; Hartes Wasser (Carbonate) reagiert mit Chlorophyll und verwandelt leuchtendes Grün in stumpfes Armeegrün. Voll entsalztes Wasser (DI-Wasser) löst das Problem.
Gemüse – Garen in Dampf vs. Kochen; Technik; Gemüse; ; Kondensatfilm, Säure, isolierende Schicht; Aufs Wasser kommt es an; Kondensierter Dampf ist leicht sauer und löst Zellverbindungen schlechter als Wasser. Zudem isoliert ein dünner Wasserfilm das Gemüse von der Hitze – Dämpfen dauert oft länger als Kochen.
Bohnen – Einfluss des pH-Werts auf die Textur; Chemie; Bohnen; ; Backpulver, Essig, alkalisch, sauer; Aufs Wasser kommt es an; Backpulver (alkalisch) lässt Bohnen schnell zu Brei zerfallen. Essig (sauer) verstärkt die Zellverbindungen – Bohnen werden kaum weich. Destilliertes Wasser (neutral) ergibt perfekt gegarte Bohnen.
Stärke – Energiespeicher der Pflanzen; Grundlagen; Kartoffeln, Maniok; ; Stärkekörner, Verkleisterung, Gelatinierung; Stärke; Pflanzen speichern Energie in Form von Stärke (kleine Körnchen in den Zellen). Mehlige Kartoffeln enthalten viele Stärkekörner, festkochende weniger.
